name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Alvaro Castillo,today,shotgun,dear,journal,about,finally,columbine,commit,need,time,want,more,like,tell,depression,god,know,sick,die,rifle,feel,buy,people,history,year,wait,dead,channel,anniversary,beautiful,suicide,father,years,deserve,complete,well,black,days,cuss,live,seventh,cargo,side,duct,butt,good,sadness,texas,assume,ammo,begin,some,under,one,ever,computer,school,model,grade,test,internet,sexual,send,little,change,before,permanently,lot,go,bad,foul,even,drown,dark,sorry,basic,moment,big,obvious,profanity,pass,world,must,every,audio,here,twin,pornography,family,almost,very,old,high,felt,remorse,show,makeover,things,denver,learn
Bryan Oliver,one,billy,blood,down,once,brother,after,about,back,david,go,over,school,saw,found,wife,head,room,day,rope,time,door,get,front,even,around,knife,few,home,date,right,some,see,life,way,put,like,car,let,last,high,two,people,man,floor,next,night,pit,long,gun,rest,more,make,later,smile,kid,normal,years,fell,hole,family,van,away,through,stage,pull,hit,cut,pick,come,dead,before,pain,second,wall,face,finally,arm,look,bucket,good,slowly,find,open,hour,base,till,cop,never,black,reunion,young,side,drink,laugh,fire,guy,thing,stop,first
Dylan Klebold,love,know,never,like,want,think,happiness,life,existence,time,people,about,good,thought,hate,more,TRUE,shit,see,god,one,ever,some,nothing,human,mind,bad,get,well,even,die,ill,pure,almost,feel,world,much,fuck,find,go,way,things,bliss,another,happy,weird,maybe,back,free,hope,most,thing,right,deeper,here,each,together,wrong,hell,every,humanity,guess,write,need,exist,suicide,school,possible,past,down,say,though,anyway,understand,perfect,end,soon,fun,ok,day,place,infinite,make,society,hall,friend,mine,goodbye,different,might,highway,body,done,nobody,big,around,days,pain,peace,knowledge
Elliot Rodger,life,time,about,one,house,after,very,mother,new,day,more,school,like,few,first,father,world,never,even,much,felt,over,way,go,two,such,saw,some,before,last,back,people,get,thought,sex,girl,around,years,class,beautiful,experience,lot,room,every,through,year,college,santa,young,able,again,place,whole,ever,good,see,make,home,once,night,old,feel,most,same,down,age,summer,little,though,game,play,want,better,party,soon,live,long,together,things,grade,hope,girlfriend,well,end,apartment,take,week,popular,really,away,retribution,next,fun,right,found,friend,point,vista,many,enough
Eric Harris,people,like,know,some,get,about,think,fuck,hate,time,one,go,want,more,few,say,good,shit,human,well,god,over,little,even,very,die,ill,see,right,love,make,house,every,around,after,vodka,big,many,try,much,back,ass,kill,things,stupid,first,put,day,nature,thing,damn,fun,hard,life,mission,school,bad,maybe,never,oh,take,someone,world,large,almost,long,person,way,ever,different,here,friend,real,most,down,home,though,own,really,each,night,need,race,shot,use,society,probably,stop,hell,through,yeah,another,away,set,base,feel,place,new,lot,gun
Evan Ramsey,person,way,get,say,like,school,hope,ever,feel,world,more,one,know,cause,last,really,well,year,every,sue,expletive,money,gauge,fact,own,nicest,bethel,figure,reason,jail,negative,maybe,internal,anyway,cut,good,hard,everyday,such,today,about,treatment,alone,mr,cruel,book,ill,hare,big,dead,years,kind,body,organs,mother,head,probably,many,found,edwards,done,usually,hit,cover,much,kick,main,angry,away,sick,together,fast,people,think,happy,tell,life,damage,both,little,want,judge,kid,humans,TRUE,time,slug,ron,positive,go,death,kill,suck,drug,reject,guy,tire,live,treat,meet
Jeffrey Weise,new,never,know,man,ever,really,change,around,here,screen,over,fuck,well,naive,choose,another,continually,worthless,two,blah,area,right,big,feel,nothing,nightmare,downfall,occasionally,sacrifice,days,own,blood,message,flesh,must,world,think,hate,sometime,resurrection,post,worthy,part,balance,might,open,put,lift,general,whatever,about,shuttle,view,place,light,ass,check,every,alone,more,fact,maybe,soon,biggest,field,secret,reside,express,regret,listen,journal,friendship,sky,salvation,smoke,band,grammatical,old,past,whatnot,sit,disappointment,single,board,things,down,movie,blade,grave,last,endless,low,time,thing,one,instrument,freedom,razor,introductory,shit
Jon Romano,love,good,great,like,people,some,about,family,life,two,get,sorry,better,one,fuck,help,hate,way,believe,four,think,watch,bad,back,mom,want,brad,aunt,columbia,remember,never,hooch,afraid,jay,uncle,hope,tv,know,music,columbine,park,eleven,matt,things,years,blame,future,shit,fun,day,south,fault,look,happen,seem,thank,father,different,goodbye,much,donna,brother,few,oh,happiness,ever,wow,figure,huge,say,dad,ask,really,first,cheek,lose,beat,happy,together,monk,violence,war,till,lake,horrible,animal,lee,law,movie,lately,school,jimmy,wait,ad,army,trouble,guy,worry,rachel,next
Kimveer Gil,manson,like,music,god,mood,people,world,know,fuck,see,goth,pm,postal,metal,one,say,love,good,stuff,about,little,really,january,never,fault,down,some,ever,february,hate,way,look,make,ass,game,movie,get,black,rain,school,stop,life,tap,go,today,blood,old,each,right,fun,day,men,much,let,great,grey,more,better,think,time,even,clyde,come,filth,june,back,cradle,rule,dude,nothing,dark,coil,last,hope,ill,things,high,earth,lacuna,keep,whiskey,rock,best,girl,may,run,take,man,march,humans,death,theme,before,police,ice,fight,understand,society,wonder,want
Kip Kinkel,love,hate,know,want,one,people,kill,feel,every,god,heart,help,head,never,more,like,think,wish,say,evil,away,sorry,nothing,person,sight,make,first,mother,things,right,hope,reason,end,time,down,better,take,someone,happy,much,full,oh,about,find,small,see,black,need,day,try,way,might,believe,some,become,live,through,touch,destroy,work,little,dad,really,face,close,hard,bad,experience,buy,horrible,back,pain,world,ever,thing,dead,laugh,even,earth,big,mainly,put,ask,days,last,misery,hole,die,alone,after,hurt,fault,go,proud,good,snap,rape,done,each,new
Luke Woodham,hate,dog,bag,one,fire,day,life,sic,luke,hit,never,grant,humanity,truly,get,put,again,through,own,more,hard,time,set,bank,neck,very,heart,leave,soul,vet,ever,down,over,mind,science,make,go,woods,accomplice,week,say,swear,about,back,hatred,night,gun,old,philosophy,shoulder,history,church,withdraw,lucas,murder,become,gay,today,process,some,thompson,saturday,live,brother,noise,sound,hurt,little,ill,inside,club,finally,society,money,good,last,thing,dear,show,friend,may,read,world,give,book,forget,most,cry,beat,id,ask,push,poetry,every,first,kill,guitar,whole,another,TRUE
Marc Lepine,men,leave,even,thus,day,life,never,female,youth,insurance,minutes,persevere,science,work,opportunistic,commit,raid,rather,obvious,keep,years,profit,nature,cadet,write,sorry,truth,arsenal,sic,political,though,try,really,epithet,distinction,send,between,annex,totally,forgive,please,today,execute,put,theory,marc,very,government,lack,get,despite,every,economic,joy,fate,end,except,good,world,rational,prevent,see,explain,course,through,preventative,mad,wait,want,way,remove,reaper,history,erudite,neglect,hear,olympic,grim,enter,arrival,precede,cheaper,letter,maker,canadian,knowledge,galley,suicide,seven,note,before,haphazard,extreme,misrepresent,maternity,time,financial,barrier,killer,antisocial
Nikolas Cruz,day,pew,know,go,see,life,school,people,die,live,get,ass,wait,main,name,one,nothing,enough,power,dumb,another,ill,begin,big,next,location,right,goal,lone,afternoon,hold,stairs,campus,afterlife,today,love,event,parkland,stupid,dear,think,idiot,government,every,courtyard,news,couple,world,shoot,political,walk,down,let,hide,fear,away,end,unload,hello,massacre,nick,wrath,least,well,tracer,before,douglas,beyond,run,never,shooter,meaningless,florida,seclusion,yeah,half,done,hate,solitude,hope,take,plan,real,brainwash,laugh,bag,fuck,kid,round,tell,here,program,,,,,,,,
Pekka-Eric Auvinen,people,human,world,race,intelligent,system,free,society,live,natural,majority,some,like,life,humanity,think,long,population,justice,rule,individual,selection,democracy,humans,process,way,mass,time,mind,want,know,laws,totalitarian,war,one,stupid,state,modern,worth,history,phenomenon,existential,blame,die,nothing,act,say,see,same,get,different,through,type,delusion,revolution,become,species,arrogant,unhappy,homo,rather,important,hate,level,collective,normal,democratic,solution,group,scum,part,power,realize,western,nature,faster,reality,death,cause,happy,three,mercy,education,personality,creative,manipulative,course,much,fight,must,complex,god,every,problem,day,wrong,another,about,might,things
Sebastian Bosse,school,people,life,want,about,shit,like,one,today,again,well,more,know,go,think,time,even,anymore,way,teacher,world,first,hate,nobody,get,see,after,right,nothing,years,man,really,day,back,home,stuff,fuck,write,here,tell,family,make,things,every,down,last,different,damn,most,normal,already,same,give,alone,end,little,live,come,maybe,hell,pay,wrong,long,good,work,better,guy,old,probably,gun,start,look,new,music,finally,death,before,class,feel,own,two,thing,another,change,some,days,entire,beautiful,anyway,never,tomorrow,germany,completely,free,person,love,next,whole,hope,shotgun
